trip_id,VendorID,datetime_id,passenger_count_id,trip_distance_id,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
8589934592,2,8589934592,5,1230,0,N,70012,76254,0,16.0,0.0,0.5,3.36,0.0,0.3,20.16
8589934593,2,8589934593,5,574,0,N,59782,62604,3,19.5,0.0,0.5,0.0,0.0,0.3,20.3
8589934594,2,8589934594,5,1243,0,N,64729,75854,0,6.0,0.0,0.5,1.36,0.0,0.3,8.16
8589934595,2,8589934595,0,1124,0,N,63792,69054,0,7.5,0.0,0.5,1.0,0.0,0.3,9.3
8589934596,2,8589934596,0,1281,0,N,63676,55339,0,28.5,0.0,0.5,8.71,5.54,0.3,43.55
8589934597,2,8589934597,0,142,0,N,60846,73122,3,29.0,0.0,0.5,0.0,5.54,0.3,35.34
8589934598,2,8589934598,1,714,0,N,71195,74237,0,13.0,0.0,0.5,2.76,0.0,0.3,16.56
8589934599,2,8589934599,0,1238,0,N,63940,58308,0,18.5,0.0,0.5,3.0,0.0,0.3,22.3
8589934600,2,8589934600,1,1202,0,N,59797,58537,0,10.0,0.0,0.5,2.16,0.0,0.3,12.96
8589934601,2,8589934601,1,701,0,N,68317,71436,3,6.0,0.0,0.5,0.0,0.0,0.3,6.8
8589934602,2,8589934602,1,266,0,N,67239,61993,0,19.0,0.0,0.5,3.96,0.0,0.3,23.76
8589934603,2,8589934603,0,39,0,N,45993,76933,0,28.0,0.0,0.5,4.0,0.0,0.3,32.8
8589934604,2,8589934604,3,1562,0,N,62161,66167,0,7.5,0.0,0.5,2.49,0.0,0.3,10.79
8589934605,2,8589934605,3,1501,0,N,59541,72997,0,19.5,0.0,0.5,3.0,0.0,0.3,23.3
8589934606,2,8589934606,5,133,0,N,65822,54700,0,16.0,0.0,0.5,4.2,0.0,0.3,21.0
8589934607,2,8589934607,0,1359,0,N,66069,72248,0,8.5,0.0,0.5,2.7,0.0,0.3,12.0
