trip_id,VendorID,datetime_id,passenger_count_id,trip_distance_id,rate_code_id,store_and_fwd_flag,pickup_location_id,dropoff_location_id,payment_type_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
34359738368,2,34359750345,5,533,0,N,86057,7075,3,6.0,0.0,0.5,0.0,0.0,0.3,6.8
34359738369,2,34359750346,0,187,0,N,80573,1706,0,13.5,0.0,0.5,2.86,0.0,0.3,17.16
34359738370,2,34359750347,0,596,0,N,85475,19452,0,11.0,0.0,0.5,2.95,0.0,0.3,14.75
34359738371,2,34359750348,0,1497,0,N,85477,15550,0,8.0,0.0,0.5,1.2,0.0,0.3,10.0
34359738372,2,34359750349,0,1141,0,N,91914,13998,0,5.5,0.0,0.5,1.26,0.0,0.3,7.56
34359738373,2,34359750350,5,1124,0,N,78765,2242,0,8.5,0.0,0.5,1.0,0.0,0.3,10.3
34359738374,2,34359750351,0,805,0,N,73045,10078,0,5.0,0.0,0.5,1.16,0.0,0.3,6.96
34359738375,2,34359750352,5,1506,0,N,83666,5691,0,16.0,0.0,0.5,1.0,0.0,0.3,17.8
34359738376,2,34359750353,5,1658,0,N,60222,20529,3,9.0,0.0,0.5,0.0,0.0,0.3,9.8
34359738377,2,34359750354,0,1068,0,N,87264,6084,3,9.0,0.0,0.5,0.0,0.0,0.3,9.8
34359738378,2,34359750355,5,704,0,N,82756,14248,0,14.5,0.0,0.5,3.0,0.0,0.3,18.3
34359738379,2,34359750356,0,774,0,N,83799,23954,0,28.5,0.0,0.5,0.0,5.54,0.3,34.84
34359738380,2,34359750357,0,1254,0,N,77484,15554,0,9.0,0.0,0.5,1.96,0.0,0.3,11.76
34359738381,2,34359750358,0,851,0,N,81889,22096,0,7.0,0.0,0.5,1.56,0.0,0.3,9.36
34359738382,2,34359750359,0,277,0,N,93109,6699,0,8.0,0.0,0.5,1.2,0.0,0.3,10.0
34359738383,2,34359750360,0,1670,0,N,93516,12582,0,11.5,0.0,0.5,2.46,0.0,0.3,14.76
34359738384,2,34359750361,0,478,0,N,93244,17273,0,6.0,0.0,0.5,1.7,0.0,0.3,8.5
34359738385,2,34359750362,4,791,0,N,74529,9430,0,4.5,0.0,0.5,1.59,0.0,0.3,6.89
34359738386,2,34359750363,0,572,0,N,78395,23689,3,5.5,0.0,0.5,0.0,0.0,0.3,6.3
34359738387,2,34359750364,0,91,0,N,86325,19897,0,14.5,0.0,0.5,3.06,0.0,0.3,18.36
34359738388,2,34359750365,3,488,0,N,76471,25911,3,9.5,0.0,0.5,0.0,0.0,0.3,10.3
34359738389,2,34359750366,0,747,0,N,92319,8520,3,23.5,0.0,0.5,0.0,0.0,0.3,24.3
34359738390,2,34359750367,0,1020,0,N,76739,26049,0,10.0,0.0,0.5,2.16,0.0,0.3,12.96
34359738391,2,34359750368,5,90,0,N,92214,23315,0,14.5,0.0,0.5,3.06,0.0,0.3,18.36
34359738392,2,34359750369,1,70,0,N,96936,20557,3,17.5,0.0,0.5,0.0,0.0,0.3,18.3
34359738393,2,34359750370,3,984,0,N,80326,557,3,5.5,0.0,0.5,0.0,0.0,0.3,6.3
34359738394,2,34359750371,0,70,0,N,93529,14390,0,13.5,0.0,0.5,3.58,0.0,0.3,17.88
34359738395,2,34359750372,0,489,0,N,90737,8535,0,11.0,0.0,0.5,2.36,0.0,0.3,14.16
34359738396,2,34359750373,0,813,0,N,79791,2002,0,5.5,0.0,0.5,1.26,0.0,0.3,7.56
34359738397,2,34359750374,0,827,0,N,77013,25663,0,5.0,0.0,0.5,1.45,0.0,0.3,7.25
34359738398,2,34359750375,5,1702,0,N,78526,24228,3,9.5,0.0,0.5,0.0,0.0,0.3,10.3
34359738399,2,34359750376,0,985,0,N,72262,7642,0,5.0,0.0,0.5,1.16,0.0,0.3,6.96
34359738400,2,34359750377,0,489,0,N,21596,21669,0,10.0,0.0,0.5,2.16,0.0,0.3,12.96
34359738401,2,34359750378,5,581,0,N,75673,4903,3,18.5,0.0,0.5,0.0,0.0,0.3,19.3
34359738402,2,34359750379,2,985,0,N,73771,22814,3,4.5,0.0,0.5,0.0,0.0,0.3,5.3
34359738403,2,34359750380,5,665,0,N,72650,6850,3,11.0,0.0,0.5,0.0,0.0,0.3,11.8
34359738404,2,34359750381,3,708,0,N,89993,22548,0,7.0,0.0,0.5,1.56,0.0,0.3,9.36
34359738405,2,34359750382,0,827,0,N,77513,5834,3,4.0,0.0,0.5,0.0,0.0,0.3,4.8
34359738406,2,34359750383,1,1180,0,N,74027,20424,3,8.0,0.0,0.5,0.0,0.0,0.3,8.8
34359738407,2,34359750384,0,87,0,N,72796,12734,0,9.5,0.0,0.5,2.06,0.0,0.3,12.36
34359738408,2,34359750385,3,702,0,N,86615,16264,0,4.0,0.0,0.5,0.96,0.0,0.3,5.76
34359738409,2,34359750386,0,612,0,N,84730,6238,0,6.0,0.0,0.5,1.7,0.0,0.3,8.5
34359738410,2,34359750387,0,760,0,N,82043,15192,0,7.0,0.0,0.5,1.56,0.0,0.3,9.36
34359738411,2,34359750388,0,722,0,N,92089,14032,0,11.0,0.0,0.5,2.36,0.0,0.3,14.16
34359738412,2,34359750389,0,1131,0,N,78039,959,0,11.5,0.0,0.5,1.5,0.0,0.3,13.8
34359738413,2,34359750390,0,533,0,N,94691,22557,0,5.0,0.0,0.5,1.16,0.0,0.3,6.96
34359738414,2,34359750391,1,1234,0,N,76762,303,0,10.0,0.0,0.5,2.16,0.0,0.3,12.96
34359738415,2,34359750392,5,1454,0,N,93930,2019,3,3.5,0.0,0.5,0.0,0.0,0.3,4.3
34359738416,2,34359750393,1,787,0,N,77522,12742,3,13.5,0.0,0.5,0.0,0.0,0.3,14.3
34359738417,2,34359750394,3,943,0,N,74276,24772,0,16.0,0.0,0.5,4.2,0.0,0.3,21.0
34359738418,2,34359750395,4,1234,0,N,90631,1246,3,8.5,0.0,0.5,0.0,0.0,0.3,9.3
34359738419,2,34359750396,0,665,0,N,89317,10927,3,13.0,0.0,0.5,0.0,0.0,0.3,13.8
34359738420,2,34359750397,0,1087,0,N,90634,15066,0,23.5,0.0,0.5,3.0,0.0,0.3,27.3
34359738421,2,34359750398,0,1702,0,N,76495,10807,0,8.5,0.0,0.5,1.0,0.0,0.3,10.3
34359738422,2,34359750399,1,1114,0,N,74041,8163,3,12.0,0.0,0.5,0.0,0.0,0.3,12.8
34359738423,2,34359750400,0,1028,0,N,88039,5045,0,8.0,0.0,0.5,1.76,0.0,0.3,10.56
34359738424,2,34359750401,1,1180,0,N,77035,12231,3,13.5,0.0,0.5,0.0,0.0,0.3,14.3
34359738425,2,34359750402,1,509,0,N,77810,25444,0,19.5,0.0,0.5,4.06,0.0,0.3,24.36
34359738426,2,34359750403,0,34,0,N,88571,430,0,24.0,0.0,0.5,4.96,0.0,0.3,29.76
34359738427,2,34359750404,0,582,0,N,80742,20717,0,11.5,0.0,0.5,3.08,0.0,0.3,15.38
34359738428,2,34359750405,5,1635,0,N,97988,15075,0,27.0,0.0,0.5,6.67,5.54,0.3,40.01
34359738429,2,34359750406,0,0,0,N,77149,12348,0,8.5,0.0,0.5,1.86,0.0,0.3,11.16
34359738430,2,34359750407,1,96,0,N,90131,2032,3,6.5,0.0,0.5,0.0,0.0,0.3,7.3
34359738431,2,34359750408,5,791,0,N,90026,10002,0,6.5,0.0,0.5,1.5,0.0,0.3,8.8
34359738432,2,34359750409,0,1249,0,N,89745,12620,0,5.5,0.0,0.5,1.26,0.0,0.3,7.56
34359738433,2,34359750410,0,185,0,N,97467,4666,3,20.0,0.0,0.5,0.0,0.0,0.3,20.8
34359738434,2,34359750411,0,1180,0,N,81125,22971,3,8.0,0.0,0.5,0.0,0.0,0.3,8.8
34359738435,2,34359750412,0,1247,1,N,80758,19507,3,71.5,0.0,0.0,0.0,12.5,0.3,84.3
34359738436,2,34359750413,5,1141,0,N,79079,8429,0,5.5,0.0,0.5,1.58,0.0,0.3,7.88
34359738437,2,34359750414,5,966,0,N,82317,2563,0,7.5,0.0,0.5,1.66,0.0,0.3,9.96
34359738438,2,34359750415,0,1680,0,N,94571,6371,3,3.5,0.0,0.5,0.0,0.0,0.3,4.3
34359738439,2,34359750416,0,53,0,N,93951,23355,0,6.5,0.0,0.5,1.46,0.0,0.3,8.76
34359738440,2,34359750417,5,1416,0,N,73399,1912,3,5.5,0.0,0.5,0.0,0.0,0.3,6.3
34359738441,2,34359750418,0,82,0,N,74817,10947,0,21.5,0.0,0.5,4.46,0.0,0.3,26.76
34359738442,2,34359750419,0,195,0,N,88841,14695,3,17.5,0.0,0.5,0.0,0.0,0.3,18.3
34359738443,2,34359750420,1,863,0,N,97734,17204,0,8.5,0.0,0.5,1.86,0.0,0.3,11.16
34359738444,2,34359750421,5,69,0,N,94844,13161,3,10.5,0.0,0.5,0.0,0.0,0.3,11.3
34359738445,2,34359750422,0,1429,0,N,83205,19520,0,15.0,0.0,0.5,3.16,0.0,0.3,18.96
34359738446,2,34359750423,0,827,0,N,79233,2311,3,8.0,0.0,0.5,0.0,0.0,0.3,8.8
34359738447,2,34359750424,0,708,0,N,82329,24411,0,9.5,0.0,0.5,2.06,0.0,0.3,12.36
34359738448,2,34359750425,5,678,0,N,96742,17083,3,6.0,0.0,0.5,0.0,0.0,0.3,6.8
34359738449,2,34359750426,0,908,0,N,72692,8055,3,12.5,0.0,0.5,0.0,0.0,0.3,13.3
34359738450,2,34359750427,0,707,0,N,78450,8311,0,11.5,0.0,0.5,2.0,0.0,0.3,14.3
34359738451,2,34359750428,0,1304,0,N,94974,7152,3,9.5,0.0,0.5,0.0,0.0,0.3,10.3
34359738452,2,34359750429,5,19,0,N,76250,3246,0,36.0,0.0,0.5,0.0,5.54,0.3,42.34
34359738453,2,34359750430,3,1418,0,N,89767,9602,3,13.5,0.0,0.5,0.0,0.0,0.3,14.3
34359738454,2,34359750431,4,516,0,N,86805,6146,0,26.0,0.0,0.5,5.0,5.54,0.3,37.34
34359738455,2,34359750432,1,1421,0,N,87680,23380,1,-2.5,0.0,-0.5,0.0,0.0,-0.3,-3.3
34359738456,2,34359750433,5,702,0,N,74706,11360,0,5.0,0.0,0.5,1.16,0.0,0.3,6.96
34359738457,2,34359750434,4,1333,0,N,84366,23639,3,13.0,0.0,0.5,0.0,0.0,0.3,13.8
34359738458,2,34359750435,5,1111,0,N,87942,24826,0,16.5,0.0,0.5,2.0,0.0,0.3,19.3
34359738459,2,34359750436,0,813,0,N,92810,10458,0,6.0,0.0,0.5,1.36,0.0,0.3,8.16
