datetime_id,tpep_pickup_datetime,pick_hour,pick_day,pick_month,pick_year,pick_weekday,tpep_dropoff_datetime,drop_hour,drop_day,drop_month,drop_year,drop_weekday
8589934592,2016-03-10T07:08:26.000Z,7,10,3,2016,5,2016-03-10T07:26:50.000Z,7,10,3,2016,5
8589934593,2016-03-10T07:08:58.000Z,7,10,3,2016,5,2016-03-10T07:31:55.000Z,7,10,3,2016,5
8589934594,2016-03-10T07:10:57.000Z,7,10,3,2016,5,2016-03-10T07:17:05.000Z,7,10,3,2016,5
8589934595,2016-03-10T07:20:58.000Z,7,10,3,2016,5,2016-03-10T07:29:18.000Z,7,10,3,2016,5
8589934596,2016-03-10T07:21:40.000Z,7,10,3,2016,5,2016-03-10T07:49:37.000Z,7,10,3,2016,5
8589934597,2016-03-10T07:22:16.000Z,7,10,3,2016,5,2016-03-10T07:50:38.000Z,7,10,3,2016,5
8589934598,2016-03-10T07:23:37.000Z,7,10,3,2016,5,2016-03-10T07:39:33.000Z,7,10,3,2016,5
8589934599,2016-03-10T07:24:10.000Z,7,10,3,2016,5,2016-03-10T07:50:34.000Z,7,10,3,2016,5
8589934600,2016-03-10T07:24:25.000Z,7,10,3,2016,5,2016-03-10T07:35:10.000Z,7,10,3,2016,5
8589934601,2016-03-10T07:25:44.000Z,7,10,3,2016,5,2016-03-10T07:32:05.000Z,7,10,3,2016,5
8589934602,2016-03-10T07:27:12.000Z,7,10,3,2016,5,2016-03-10T07:52:03.000Z,7,10,3,2016,5
8589934603,2016-03-10T07:30:38.000Z,7,10,3,2016,5,2016-03-10T07:59:03.000Z,7,10,3,2016,5
8589934604,2016-03-10T07:34:59.000Z,7,10,3,2016,5,2016-03-10T07:44:30.000Z,7,10,3,2016,5
8589934605,2016-03-10T07:36:12.000Z,7,10,3,2016,5,2016-03-10T08:00:52.000Z,8,10,3,2016,5
8589934606,2016-03-10T07:37:47.000Z,7,10,3,2016,5,2016-03-10T07:56:52.000Z,7,10,3,2016,5
8589934607,2016-03-10T07:38:10.000Z,7,10,3,2016,5,2016-03-10T07:48:17.000Z,7,10,3,2016,5
8589934608,2016-03-10T07:39:19.000Z,7,10,3,2016,5,2016-03-10T07:43:13.000Z,7,10,3,2016,5
8589934609,2016-03-10T07:40:22.000Z,7,10,3,2016,5,2016-03-10T07:49:25.000Z,7,10,3,2016,5
8589934610,2016-03-10T07:40:39.000Z,7,10,3,2016,5,2016-03-10T07:46:43.000Z,7,10,3,2016,5
