datetime_id,tpep_pickup_datetime,pick_hour,pick_day,pick_month,pick_year,pick_weekday,tpep_dropoff_datetime,drop_hour,drop_day,drop_month,drop_year,drop_weekday
34359738368,2016-03-10T09:28:12.000Z,9,10,3,2016,5,2016-03-10T09:34:29.000Z,9,10,3,2016,5
34359738369,2016-03-10T09:30:51.000Z,9,10,3,2016,5,2016-03-10T09:49:27.000Z,9,10,3,2016,5
34359738370,2016-03-10T09:32:39.000Z,9,10,3,2016,5,2016-03-10T09:44:03.000Z,9,10,3,2016,5
34359738371,2016-03-10T09:34:23.000Z,9,10,3,2016,5,2016-03-10T09:41:58.000Z,9,10,3,2016,5
34359738372,2016-03-10T09:34:59.000Z,9,10,3,2016,5,2016-03-10T09:40:16.000Z,9,10,3,2016,5
34359738373,2016-03-10T09:36:08.000Z,9,10,3,2016,5,2016-03-10T09:47:12.000Z,9,10,3,2016,5
34359738374,2016-03-10T09:36:09.000Z,9,10,3,2016,5,2016-03-10T09:41:38.000Z,9,10,3,2016,5
34359738375,2016-03-10T09:36:49.000Z,9,10,3,2016,5,2016-03-10T10:01:41.000Z,10,10,3,2016,5
34359738376,2016-03-10T09:37:08.000Z,9,10,3,2016,5,2016-03-10T09:49:35.000Z,9,10,3,2016,5
34359738377,2016-03-10T09:39:14.000Z,9,10,3,2016,5,2016-03-10T09:49:54.000Z,9,10,3,2016,5
34359738378,2016-03-10T09:40:14.000Z,9,10,3,2016,5,2016-03-10T10:03:08.000Z,10,10,3,2016,5
34359738379,2016-03-10T09:40:18.000Z,9,10,3,2016,5,2016-03-10T10:00:51.000Z,10,10,3,2016,5
34359738380,2016-03-10T09:42:19.000Z,9,10,3,2016,5,2016-03-10T09:51:42.000Z,9,10,3,2016,5
34359738381,2016-03-10T09:44:59.000Z,9,10,3,2016,5,2016-03-10T09:53:39.000Z,9,10,3,2016,5
34359738382,2016-03-10T09:45:30.000Z,9,10,3,2016,5,2016-03-10T09:55:21.000Z,9,10,3,2016,5
34359738383,2016-03-10T09:47:47.000Z,9,10,3,2016,5,2016-03-10T09:59:11.000Z,9,10,3,2016,5
34359738384,2016-03-10T09:48:27.000Z,9,10,3,2016,5,2016-03-10T09:53:52.000Z,9,10,3,2016,5
34359738385,2016-03-10T09:49:22.000Z,9,10,3,2016,5,2016-03-10T09:52:51.000Z,9,10,3,2016,5
34359738386,2016-03-10T09:49:37.000Z,9,10,3,2016,5,2016-03-10T09:54:45.000Z,9,10,3,2016,5
34359738387,2016-03-10T09:50:21.000Z,9,10,3,2016,5,2016-03-10T10:02:15.000Z,10,10,3,2016,5
34359738388,2016-03-10T09:50:45.000Z,9,10,3,2016,5,2016-03-10T10:04:44.000Z,10,10,3,2016,5
34359738389,2016-03-10T09:51:26.000Z,9,10,3,2016,5,2016-03-10T10:22:27.000Z,10,10,3,2016,5
34359738390,2016-03-10T09:54:25.000Z,9,10,3,2016,5,2016-03-10T10:07:47.000Z,10,10,3,2016,5
34359738391,2016-03-10T09:58:48.000Z,9,10,3,2016,5,2016-03-10T10:18:35.000Z,10,10,3,2016,5
34359738392,2016-03-10T09:59:11.000Z,9,10,3,2016,5,2016-03-10T10:27:17.000Z,10,10,3,2016,5
34359738393,2016-03-10T10:02:04.000Z,10,10,3,2016,5,2016-03-10T10:07:19.000Z,10,10,3,2016,5
34359738394,2016-03-10T10:02:41.000Z,10,10,3,2016,5,2016-03-10T10:21:59.000Z,10,10,3,2016,5
34359738395,2016-03-10T10:02:57.000Z,10,10,3,2016,5,2016-03-10T10:16:01.000Z,10,10,3,2016,5
34359738396,2016-03-10T10:04:41.000Z,10,10,3,2016,5,2016-03-10T10:10:36.000Z,10,10,3,2016,5
34359738397,2016-03-10T10:04:43.000Z,10,10,3,2016,5,2016-03-10T10:09:54.000Z,10,10,3,2016,5
34359738398,2016-03-10T10:08:11.000Z,10,10,3,2016,5,2016-03-10T10:21:19.000Z,10,10,3,2016,5
34359738399,2016-03-10T10:10:22.000Z,10,10,3,2016,5,2016-03-10T10:14:56.000Z,10,10,3,2016,5
34359738400,2016-03-10T10:10:27.000Z,10,10,3,2016,5,2016-03-10T10:22:57.000Z,10,10,3,2016,5
34359738401,2016-03-10T10:10:46.000Z,10,10,3,2016,5,2016-03-10T10:34:39.000Z,10,10,3,2016,5
34359738402,2016-03-10T10:10:55.000Z,10,10,3,2016,5,2016-03-10T10:14:26.000Z,10,10,3,2016,5
34359738403,2016-03-10T10:11:50.000Z,10,10,3,2016,5,2016-03-10T10:28:09.000Z,10,10,3,2016,5
34359738404,2016-03-10T10:14:49.000Z,10,10,3,2016,5,2016-03-10T10:23:19.000Z,10,10,3,2016,5
34359738405,2016-03-10T10:15:02.000Z,10,10,3,2016,5,2016-03-10T10:17:56.000Z,10,10,3,2016,5
34359738406,2016-03-10T10:16:40.000Z,10,10,3,2016,5,2016-03-10T10:26:03.000Z,10,10,3,2016,5
34359738407,2016-03-10T10:17:02.000Z,10,10,3,2016,5,2016-03-10T10:30:15.000Z,10,10,3,2016,5
34359738408,2016-03-10T10:17:42.000Z,10,10,3,2016,5,2016-03-10T10:19:21.000Z,10,10,3,2016,5
34359738409,2016-03-10T10:19:27.000Z,10,10,3,2016,5,2016-03-10T10:25:42.000Z,10,10,3,2016,5
34359738410,2016-03-10T10:21:09.000Z,10,10,3,2016,5,2016-03-10T10:28:54.000Z,10,10,3,2016,5
