datetime_id,tpep_pickup_datetime,pick_hour,pick_day,pick_month,pick_year,pick_weekday,tpep_dropoff_datetime,drop_hour,drop_day,drop_month,drop_year,drop_weekday
0,2016-03-10T09:27:33.000Z,9,10,3,2016,5,2016-03-10T09:43:40.000Z,9,10,3,2016,5
1,2016-03-10T09:27:52.000Z,9,10,3,2016,5,2016-03-10T09:41:30.000Z,9,10,3,2016,5
2,2016-03-10T09:28:14.000Z,9,10,3,2016,5,2016-03-10T09:37:47.000Z,9,10,3,2016,5
3,2016-03-10T09:29:57.000Z,9,10,3,2016,5,2016-03-10T09:36:57.000Z,9,10,3,2016,5
4,2016-03-10T09:30:36.000Z,9,10,3,2016,5,2016-03-10T09:58:08.000Z,9,10,3,2016,5
5,2016-03-10T09:31:48.000Z,9,10,3,2016,5,2016-03-10T09:43:37.000Z,9,10,3,2016,5
6,2016-03-10T09:32:37.000Z,9,10,3,2016,5,2016-03-10T10:01:39.000Z,10,10,3,2016,5
7,2016-03-10T09:40:39.000Z,9,10,3,2016,5,2016-03-10T10:01:59.000Z,10,10,3,2016,5
8,2016-03-10T09:41:06.000Z,9,10,3,2016,5,2016-03-10T10:13:40.000Z,10,10,3,2016,5
9,2016-03-10T09:41:28.000Z,9,10,3,2016,5,2016-03-10T09:49:42.000Z,9,10,3,2016,5
10,2016-03-10T09:41:30.000Z,9,10,3,2016,5,2016-03-10T09:51:42.000Z,9,10,3,2016,5
11,2016-03-10T09:41:41.000Z,9,10,3,2016,5,2016-03-10T10:36:21.000Z,10,10,3,2016,5
12,2016-03-10T09:43:33.000Z,9,10,3,2016,5,2016-03-10T09:55:00.000Z,9,10,3,2016,5
13,2016-03-10T09:43:49.000Z,9,10,3,2016,5,2016-03-10T09:51:06.000Z,9,10,3,2016,5
14,2016-03-10T09:44:00.000Z,9,10,3,2016,5,2016-03-10T09:46:04.000Z,9,10,3,2016,5
15,2016-03-10T09:44:52.000Z,9,10,3,2016,5,2016-03-10T09:53:39.000Z,9,10,3,2016,5
16,2016-03-10T09:46:58.000Z,9,10,3,2016,5,2016-03-10T10:03:59.000Z,10,10,3,2016,5
17,2016-03-10T09:47:47.000Z,9,10,3,2016,5,2016-03-10T09:56:14.000Z,9,10,3,2016,5
18,2016-03-10T09:50:44.000Z,9,10,3,2016,5,2016-03-10T10:09:40.000Z,10,10,3,2016,5
19,2016-03-10T09:50:49.000Z,9,10,3,2016,5,2016-03-10T09:58:06.000Z,9,10,3,2016,5
20,2016-03-10T09:50:58.000Z,9,10,3,2016,5,2016-03-10T10:08:57.000Z,10,10,3,2016,5
21,2016-03-10T09:51:53.000Z,9,10,3,2016,5,2016-03-10T10:20:58.000Z,10,10,3,2016,5
22,2016-03-10T09:52:16.000Z,9,10,3,2016,5,2016-03-10T10:00:25.000Z,10,10,3,2016,5
23,2016-03-10T09:53:18.000Z,9,10,3,2016,5,2016-03-10T10:04:18.000Z,10,10,3,2016,5
24,2016-03-10T09:55:18.000Z,9,10,3,2016,5,2016-03-10T10:02:34.000Z,10,10,3,2016,5
25,2016-03-10T09:56:04.000Z,9,10,3,2016,5,2016-03-10T10:12:38.000Z,10,10,3,2016,5
26,2016-03-10T09:56:41.000Z,9,10,3,2016,5,2016-03-10T10:14:54.000Z,10,10,3,2016,5
27,2016-03-10T09:57:21.000Z,9,10,3,2016,5,2016-03-10T10:16:36.000Z,10,10,3,2016,5
28,2016-03-10T09:58:03.000Z,9,10,3,2016,5,2016-03-10T09:59:55.000Z,9,10,3,2016,5
29,2016-03-10T09:58:12.000Z,9,10,3,2016,5,2016-03-10T10:09:07.000Z,10,10,3,2016,5
30,2016-03-10T09:58:25.000Z,9,10,3,2016,5,2016-03-10T10:16:45.000Z,10,10,3,2016,5
31,2016-03-10T09:58:27.000Z,9,10,3,2016,5,2016-03-10T10:13:43.000Z,10,10,3,2016,5
32,2016-03-10T09:58:50.000Z,9,10,3,2016,5,2016-03-10T10:25:18.000Z,10,10,3,2016,5
33,2016-03-10T09:59:31.000Z,9,10,3,2016,5,2016-03-10T10:15:47.000Z,10,10,3,2016,5
34,2016-03-10T10:00:18.000Z,10,10,3,2016,5,2016-03-10T10:07:16.000Z,10,10,3,2016,5
35,2016-03-10T10:03:20.000Z,10,10,3,2016,5,2016-03-10T10:14:23.000Z,10,10,3,2016,5
36,2016-03-10T10:05:21.000Z,10,10,3,2016,5,2016-03-10T10:31:10.000Z,10,10,3,2016,5
37,2016-03-10T10:06:06.000Z,10,10,3,2016,5,2016-03-10T10:10:41.000Z,10,10,3,2016,5
38,2016-03-10T10:07:11.000Z,10,10,3,2016,5,2016-03-10T10:28:42.000Z,10,10,3,2016,5
39,2016-03-10T10:08:05.000Z,10,10,3,2016,5,2016-03-10T10:27:06.000Z,10,10,3,2016,5
40,2016-03-10T10:08:11.000Z,10,10,3,2016,5,2016-03-10T10:16:31.000Z,10,10,3,2016,5
41,2016-03-10T10:10:39.000Z,10,10,3,2016,5,2016-03-10T10:15:59.000Z,10,10,3,2016,5
42,2016-03-10T10:10:40.000Z,10,10,3,2016,5,2016-03-10T10:16:18.000Z,10,10,3,2016,5
43,2016-03-10T10:11:53.000Z,10,10,3,2016,5,2016-03-10T10:41:25.000Z,10,10,3,2016,5
44,2016-03-10T10:12:15.000Z,10,10,3,2016,5,2016-03-10T10:25:24.000Z,10,10,3,2016,5
45,2016-03-10T10:13:23.000Z,10,10,3,2016,5,2016-03-10T10:19:57.000Z,10,10,3,2016,5
46,2016-03-10T10:14:12.000Z,10,10,3,2016,5,2016-03-10T10:24:05.000Z,10,10,3,2016,5
47,2016-03-10T10:14:41.000Z,10,10,3,2016,5,2016-03-10T10:49:24.000Z,10,10,3,2016,5
48,2016-03-10T10:14:54.000Z,10,10,3,2016,5,2016-03-10T11:05:36.000Z,11,10,3,2016,5
49,2016-03-10T10:15:03.000Z,10,10,3,2016,5,2016-03-10T10:18:34.000Z,10,10,3,2016,5
50,2016-03-10T10:16:35.000Z,10,10,3,2016,5,2016-03-10T10:43:30.000Z,10,10,3,2016,5
51,2016-03-10T10:17:23.000Z,10,10,3,2016,5,2016-03-10T10:32:11.000Z,10,10,3,2016,5
52,2016-03-10T10:19:43.000Z,10,10,3,2016,5,2016-03-10T10:22:33.000Z,10,10,3,2016,5
53,2016-03-10T10:21:35.000Z,10,10,3,2016,5,2016-03-10T10:28:13.000Z,10,10,3,2016,5
54,2016-03-10T10:21:40.000Z,10,10,3,2016,5,2016-03-10T10:25:57.000Z,10,10,3,2016,5
55,2016-03-10T10:24:30.000Z,10,10,3,2016,5,2016-03-10T10:32:14.000Z,10,10,3,2016,5
56,2016-03-10T10:26:11.000Z,10,10,3,2016,5,2016-03-10T10:40:42.000Z,10,10,3,2016,5
57,2016-03-10T10:27:13.000Z,10,10,3,2016,5,2016-03-10T10:36:07.000Z,10,10,3,2016,5
58,2016-03-10T10:27:22.000Z,10,10,3,2016,5,2016-03-10T10:39:26.000Z,10,10,3,2016,5
59,2016-03-10T10:29:28.000Z,10,10,3,2016,5,2016-03-10T10:57:41.000Z,10,10,3,2016,5
60,2016-03-10T10:30:38.000Z,10,10,3,2016,5,2016-03-10T10:54:07.000Z,10,10,3,2016,5
