datetime_id,tpep_pickup_datetime,pick_hour,pick_day,pick_month,pick_year,pick_weekday,tpep_dropoff_datetime,drop_hour,drop_day,drop_month,drop_year,drop_weekday
25769803776,2016-03-01T00:00:19.000Z,0,1,3,2016,3,2016-03-01T00:18:02.000Z,0,1,3,2016,3
25769803777,2016-03-10T07:08:38.000Z,7,10,3,2016,5,2016-03-10T07:22:41.000Z,7,10,3,2016,5
25769803778,2016-03-10T07:12:18.000Z,7,10,3,2016,5,2016-03-10T07:15:52.000Z,7,10,3,2016,5
25769803779,2016-03-10T07:12:36.000Z,7,10,3,2016,5,2016-03-10T07:22:18.000Z,7,10,3,2016,5
25769803780,2016-03-10T07:13:16.000Z,7,10,3,2016,5,2016-03-10T07:15:39.000Z,7,10,3,2016,5
25769803781,2016-03-10T07:15:25.000Z,7,10,3,2016,5,2016-03-10T07:31:57.000Z,7,10,3,2016,5
25769803782,2016-03-10T07:15:46.000Z,7,10,3,2016,5,2016-03-10T07:25:04.000Z,7,10,3,2016,5
25769803783,2016-03-10T07:16:17.000Z,7,10,3,2016,5,2016-03-10T07:31:34.000Z,7,10,3,2016,5
25769803784,2016-03-10T07:18:05.000Z,7,10,3,2016,5,2016-03-10T07:21:02.000Z,7,10,3,2016,5
25769803785,2016-03-10T07:18:18.000Z,7,10,3,2016,5,2016-03-10T07:25:02.000Z,7,10,3,2016,5
25769803786,2016-03-10T07:21:00.000Z,7,10,3,2016,5,2016-03-10T07:31:45.000Z,7,10,3,2016,5
25769803787,2016-03-10T07:21:06.000Z,7,10,3,2016,5,2016-03-10T07:37:10.000Z,7,10,3,2016,5
25769803788,2016-03-10T07:22:39.000Z,7,10,3,2016,5,2016-03-10T07:30:35.000Z,7,10,3,2016,5
25769803789,2016-03-10T07:22:43.000Z,7,10,3,2016,5,2016-03-10T07:44:48.000Z,7,10,3,2016,5
25769803790,2016-03-10T07:23:12.000Z,7,10,3,2016,5,2016-03-10T08:00:10.000Z,8,10,3,2016,5
25769803791,2016-03-10T07:24:11.000Z,7,10,3,2016,5,2016-03-10T07:27:23.000Z,7,10,3,2016,5
25769803792,2016-03-10T07:24:32.000Z,7,10,3,2016,5,2016-03-10T07:28:48.000Z,7,10,3,2016,5
25769803793,2016-03-10T07:25:00.000Z,7,10,3,2016,5,2016-03-10T07:35:42.000Z,7,10,3,2016,5
25769803794,2016-03-10T07:25:36.000Z,7,10,3,2016,5,2016-03-10T08:13:43.000Z,8,10,3,2016,5
25769803795,2016-03-10T07:27:40.000Z,7,10,3,2016,5,2016-03-10T07:35:44.000Z,7,10,3,2016,5
25769803796,2016-03-10T07:29:05.000Z,7,10,3,2016,5,2016-03-10T07:51:31.000Z,7,10,3,2016,5
25769803797,2016-03-10T07:29:30.000Z,7,10,3,2016,5,2016-03-10T07:42:06.000Z,7,10,3,2016,5
25769803798,2016-03-10T07:30:51.000Z,7,10,3,2016,5,2016-03-10T07:44:20.000Z,7,10,3,2016,5
25769803799,2016-03-10T07:31:34.000Z,7,10,3,2016,5,2016-03-10T07:38:43.000Z,7,10,3,2016,5
25769803800,2016-03-10T07:32:04.000Z,7,10,3,2016,5,2016-03-10T07:46:33.000Z,7,10,3,2016,5
25769803801,2016-03-10T07:32:23.000Z,7,10,3,2016,5,2016-03-10T08:07:51.000Z,8,10,3,2016,5
25769803802,2016-03-10T07:33:57.000Z,7,10,3,2016,5,2016-03-10T07:45:05.000Z,7,10,3,2016,5
25769803803,2016-03-10T07:34:57.000Z,7,10,3,2016,5,2016-03-10T07:41:23.000Z,7,10,3,2016,5
25769803804,2016-03-10T07:36:13.000Z,7,10,3,2016,5,2016-03-10T07:53:40.000Z,7,10,3,2016,5
25769803805,2016-03-10T07:36:35.000Z,7,10,3,2016,5,2016-03-10T07:44:40.000Z,7,10,3,2016,5
25769803806,2016-03-10T07:37:33.000Z,7,10,3,2016,5,2016-03-10T07:57:34.000Z,7,10,3,2016,5
25769803807,2016-03-10T07:40:09.000Z,7,10,3,2016,5,2016-03-10T07:59:00.000Z,7,10,3,2016,5
25769803808,2016-03-10T07:43:07.000Z,7,10,3,2016,5,2016-03-10T07:48:25.000Z,7,10,3,2016,5
25769803809,2016-03-10T07:47:20.000Z,7,10,3,2016,5,2016-03-10T07:59:49.000Z,7,10,3,2016,5
25769803810,2016-03-10T07:47:52.000Z,7,10,3,2016,5,2016-03-10T07:54:28.000Z,7,10,3,2016,5
25769803811,2016-03-10T07:48:49.000Z,7,10,3,2016,5,2016-03-10T08:03:41.000Z,8,10,3,2016,5
25769803812,2016-03-10T07:49:33.000Z,7,10,3,2016,5,2016-03-10T08:08:26.000Z,8,10,3,2016,5
25769803813,2016-03-10T07:50:03.000Z,7,10,3,2016,5,2016-03-10T07:58:59.000Z,7,10,3,2016,5
25769803814,2016-03-10T07:51:31.000Z,7,10,3,2016,5,2016-03-10T07:56:10.000Z,7,10,3,2016,5
25769803815,2016-03-10T07:53:06.000Z,7,10,3,2016,5,2016-03-10T08:01:56.000Z,8,10,3,2016,5
25769803816,2016-03-10T07:55:10.000Z,7,10,3,2016,5,2016-03-10T08:01:37.000Z,8,10,3,2016,5
25769803817,2016-03-10T07:58:26.000Z,7,10,3,2016,5,2016-03-10T08:00:54.000Z,8,10,3,2016,5
25769803818,2016-03-10T08:00:25.000Z,8,10,3,2016,5,2016-03-10T08:17:14.000Z,8,10,3,2016,5
25769803819,2016-03-10T08:00:26.000Z,8,10,3,2016,5,2016-03-10T08:07:25.000Z,8,10,3,2016,5
25769803820,2016-03-10T08:00:46.000Z,8,10,3,2016,5,2016-03-10T08:04:29.000Z,8,10,3,2016,5
25769803821,2016-03-10T08:00:56.000Z,8,10,3,2016,5,2016-03-10T08:43:40.000Z,8,10,3,2016,5
25769803822,2016-03-10T08:01:30.000Z,8,10,3,2016,5,2016-03-10T08:04:09.000Z,8,10,3,2016,5
25769803823,2016-03-10T08:02:14.000Z,8,10,3,2016,5,2016-03-10T08:16:04.000Z,8,10,3,2016,5
25769803824,2016-03-10T08:03:59.000Z,8,10,3,2016,5,2016-03-10T08:41:02.000Z,8,10,3,2016,5
25769803825,2016-03-10T08:04:48.000Z,8,10,3,2016,5,2016-03-10T08:15:34.000Z,8,10,3,2016,5
25769803826,2016-03-10T08:04:51.000Z,8,10,3,2016,5,2016-03-10T08:20:13.000Z,8,10,3,2016,5
25769803827,2016-03-10T08:05:31.000Z,8,10,3,2016,5,2016-03-10T08:16:20.000Z,8,10,3,2016,5
25769803828,2016-03-10T08:06:20.000Z,8,10,3,2016,5,2016-03-10T08:32:14.000Z,8,10,3,2016,5
25769803829,2016-03-10T08:06:22.000Z,8,10,3,2016,5,2016-03-10T08:11:35.000Z,8,10,3,2016,5
25769803830,2016-03-10T08:08:12.000Z,8,10,3,2016,5,2016-03-10T08:29:45.000Z,8,10,3,2016,5
25769803831,2016-03-10T08:08:58.000Z,8,10,3,2016,5,2016-03-10T08:12:43.000Z,8,10,3,2016,5
25769803832,2016-03-10T08:09:42.000Z,8,10,3,2016,5,2016-03-10T08:12:49.000Z,8,10,3,2016,5
25769803833,2016-03-10T08:09:46.000Z,8,10,3,2016,5,2016-03-10T08:11:31.000Z,8,10,3,2016,5
